subject,title,level,credit_amount,description,last_taught
ACCT I S,"PROFESSIONAL PRACTICE ISSUES IN ACCOUNTING, AUDITING, AND TAXATION",601,3,"Study of current accounting and audit issues within a case context. Students will be required to perform computerized research, analyze topical accounting and audit issues, and make case presentations",S25
ACCT I S,FINANCIAL STATEMENT ANALYSIS,603,3,"Analysis and interpretation of financial statements, including profitability and ratio analysis, cash flow analysis, accounting-based equity valuation, market impact of accounting choices, earnings quality, earnings management, mergers and acquisitions, intangibles, accounting-based trading strategies, accounting and credit ratings, and international accounting",F24
ACCT I S,FUNDAMENTALS OF TAXATION,620,3,"Application of federal tax provisions and administrative rules common to most taxpayers with introductions to rules specific to corporations, passthrough entities, and individuals",S25
ACCT I S,CORPORATE AND ADVANCED TAXATION,621,3,"Application of federal tax provisions and administrative rules pertaining to corporations and shareholders, including elective provisions for ""S"" corporations. Emphasis on tax planning and the consequences of corporate and shareholder decisions",S25
ACCT I S,FOUNDATIONS OF AUDITING,630,3,"Audit and assurance services are vital to ensuring that organizations, their stakeholders, and the public can rely on organizations' financial information. Focus is on financial statement audits and their role in corporate governance and oversight. Emphasizes the components of the audit process with application to key financial accounting cycles and related internal controls. Also covers the professional role of public accountants and professional standards, norms and ethics",S25
ACCT I S,FOUNDATION IN ACCOUNTING ANALYTICS,640,3,"Analytics has become an integral part of accounting to support decision making, coordination and control, and compliance with regulations. Being able to identify and pursue relevant questions using data is a critical skill for new hires, as is the ability to successfully communicate one's findings. This pursuit and communication requires a strong facility with a variety of analytics technologies",F24
ACCT I S,FINANCIAL ACCOUNTING,700,2-3,"Measurement and reporting guidelines underlying preparation of general purpose financial statements. Explore current measurement and reporting issues. Analyze and interpret financial statement data for investment, lending, and related decisions",F24
ACCT I S,FINANCIAL REPORTING I,701,3,"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and other external users. Emphasizes asset and liability valuations and their relationships to income determination, preparation and interpretation of financial statements, and related disclosure requirements",S25
ACCT I S,FINANCIAL REPORTING II,702,3,"Examines current and emerging financial accounting theory and techniques used to measure and report financial information to investors, creditors, and orther external users, including dilutive securities, investments, revenue recognition, income tax allocation, pensions, leases and accounting changes",S25
ACCT I S,MANAGERIAL ACCOUNTING,710,2-3,"Interpretation and use of accounting data for management planning, decision making and control. Consideration of cost-volume-profit relationships, relevant costs, variable (direct) costing, activity-based costing, transfer pricing and performance evaluation of segments of the firm",U25
ACCT I S,ANALYSIS OF TAXATION FOR PASS-THROUGH ENTITIES,722,3,"Analysis of federal tax provisions and administrative rules regarding passthrough entities, such as partnerships, S-corporations, and limited liability companies; including their application to entity formation and operation, property and ownership basis, distributions, and interest transfers",F24
ACCT I S,"TAX RESEARCH, PROCEDURE & ANALYSIS",724,3,Methodologies and tools for tax research; utilization of tax research tools; preparation of investigative reports; professional and interprofessional responsibilities; administrative procedures and techniques,F24
ACCT I S,ANALYSIS OF INTERNATIONAL TAXATION,725,3,"An introduction to international tax issues. Topics covered may include tax treaties, foreign tax credit provisions, Subpart F rules, and taxation of inbound investment and business income",S25
ACCT I S,"ADVANCED AUDITING: ANALYSIS, POLICY, AND JUDGMENT",730,3,"Auditors increasingly use analytics to provide assurance over financial and non-financial information. Audit and assurance principles will be viewed through the lens of an analytics mindset. Uses analytics in combination with other audit techniques as a basis for professional judgments. Examines how the contemporary audit environment influences professional judgments. Develops the technical knowledge and skills needed in many professional roles through discussion, case studies, and group project",S25
ACCT I S,"INFORMATION RISK, CONTROL, & FORENSICS",740,3,"Examines the control and security of accounting information systems with an auditing and forensic perspective. Topics covered include: data governance frameworks, risks to information (i.e., data), internal controls related to identified risks, types of assurance services, computer assisted audit tools and techniques (CAATTs), fraud, and other related topics",S25
ACCT I S,CONTEMPORARY TOPICS,765,1-4,Exploration of advanced subject areas possibly to be introduced into the business curriculum,S22
ACCT I S,ACCOUNTING THEORY: REPORTING INCENTIVES AND CONSEQUENCES,770,3,Review and analysis of theoretical foundations of corporate financial reporting; application of conceptual framework and finance/economic theories to understand development of major accounting standards,F24
ACCT I S,ANALYSIS OF PERFORMANCE MEASUREMENT & CONTROL,771,3,"Development and analysis of accounting data for managerial planning, control, decision-making, and costing, with a focus on the integration of financial and non-financial information needs for various managerial functions",S25
ACCT I S,ANALYSIS OF TAXES & BUSINESS DECISIONS,772,3,Readings and cases in taxation; analysis and integration of related tax provisions and taxpayer impact,S25
ACCT I S/E P D/GEN BUS,FINANCIAL AND BUSINESS ACUMEN,781,1,"This course is designed with a keen awareness for the needs of the nonfinancial student or professional. For this class, no previous financial training is required. The intent is to equip you with the essential concepts used to develop financial literacy. Content will cover basic financial terms and reports, analytical tools to help interpret financial data and using financial data in budgets and forecasts",U25
ACCT I S,READING AND RESEARCH-ACCOUNTING,799,1-6,Individual work suited to the needs of graduate students may be arranged both during regular sessions and the intersession periods,U09
ACCT I S,SEMINAR IN ACCOUNTING RESEARCH,971,3,"Provides the tools needed for educated consumption of accounting research. Examines and synthesizes relevant accounting research to identify important research questions. Develops the knowledge and skills needed to conduct accounting research through discussion, presentations, and writing assignments",S25
ACCT I S,ACCOUNTING INDEPENDENT RESEARCH PHD THESIS,990,1-12,Individual work to complete dissertation requirement of Ph.D. program,U25
ACCT I S,READING AND RESEARCH-ACCOUNTING PHD,999,1-6,Individual work suited to the needs of Ph.D. students may be arranged with a faculty member,U25
ACT SCI,PROBABILITY FOR ACTUARIES,300,1,Develop a knowledge of fundamental mathematical tools for quantitatively assessing risk. Emphasize the applications of these tools to problems encountered in actuarial science,S25
ACT SCI,ACTUARIAL SCIENCE METHODS II,301,1,Develop a knowledge of mathematical tools for quantitatively assessing financial risk. Emphasize the applications to problems encountered in actuarial science,S24
ACT SCI,THEORY OF INTEREST,303,3,"Time value of money; interest compounded discretely and continuously; accumulated and present value of payments; loans and sinking funds; annuity and bond valuation; interest rate term structure; duration, immunization and interest rate swaps",S25
ACT SCI,CONTEMPORARY TOPICS,365,1-3,Exploration of subject areas possibly to be introduced into the business curriculum,F23
ACT SCI,READING AND RESEARCH-ACTUARIAL SCIENCE,399,1-3,Directed study in various areas of actuarial science that provides the opportunity to participate in more in-depth study (intermediate level) under the direct guidance of actuarial science faculty,S25
ACT SCI,ACTUARIAL STATISTICS FOR RISK MODELING,640,4,Introduction to statistical learning theory and methods for analyzing and modeling risks in actuarial applications. Topics include linear and nonlinear models; diagnostics and assessment of predictive models; variable and model selection; and non-supervised learning techniques,S25
ACT SCI,FUNDAMENTALS OF LONG-TERM ACTUARIAL MODELING,650,3,"Advanced problems in the mathematical theory of life contingencies; force of mortality, laws of mortality; premiums and reserves for insurance and annuities based on a single life",S25
ACT SCI,ADVANCED LONG-TERM ACTUARIAL MODELING,651,3,"Joint life probabilities, annuities and insurances; multiple-decrement theory; pension fund mathematics",S25
ACT SCI,FUNDAMENTALS OF SHORT-TERM ACTUARIAL MODELING,652,3,Definition and selection of probability distributions appropriate for insurance data that are heavily tailed and skewed,S25
ACT SCI,ADVANCED SHORT-TERM ACTUARIAL MODELING,653,3,Estimation of parameters of probability distributions appropriate for insurance data that are heavy tailed and skewed; assessment of credibility of data for ratemaking,S25
ACT SCI,REGRESSION AND TIME SERIES FOR ACTUARIES,654,2-3,Foundation of multiple regression and time series analysis with focus on business. Introduction to skills needed to become critical consumers of reports that are based on regression and time series analysis,S25
ACT SCI,HEALTH ANALYTICS,655,3,"Introduction to the broad area of health, integrating how researchers from multiple perspectives have investigated various aspects of health, along with the hands-on practice of learning and using statistical tools to analyze these topics",F24
ACT SCI,RISK ANALYTICS,657,3,"Develop a toolbox for modeling, communicating, and managing risk and uncertainty in business applications. Emphasis on the notation of probabilistic forecasting and introduces a predictive modeling framework that integrate modern machine learning methods with distributionbased regression models. Topics include heavy-tailed regression, count data regression, survival data analysis, feature engineering using neural networks and natural language processing, among others",S25
ACT SCI,CONTEMPORARY TOPICS,765,1-3,Exploration of subject areas possibly to be introduced into the business curriculum,S20
AFROAMER,INTRODUCTION TO AFRICAN AMERICAN STUDIES,101,3,"Delve into the origins of African American Studies as an academic discipline and explore its early forms. Examine how African Americans have contributed to the understanding of the African American experience, both historically and in the present day. Analyze current struggles of the Black community for freedom, justice, and humanity",S25
AFROAMER/AMER IND/ASIAN AM/CHICLA/FOLKLORE,INTRODUCTION TO COMPARATIVE US ETHNIC AND AMERICAN INDIAN STUDIES,102,3,"Introduction to comparative ethnic studies, examining race, ethnicity, and indigeneity within the United States. Includes perspectives from African American, American Indian, Asian American, and Chican@ and Latin@ studies",S25
AFROAMER,INTRODUCTION TO CONTEMPORARY AFRO- AMERICAN SOCIETY,151,3,Survey of the characteristics and problems of African Americans in contemporary society,S24
AFROAMER,HIP-HOP AND CONTEMPORARY AMERICAN SOCIETY,154,3,The aesthetic and political evolution of hip-hop culture and its relationship to contemporary social issues,U25
AFROAMER,THEY: RACE IN AMERICAN LITERATURE,155,3,The evolution of stereotypes. The literary manifestations of the assumptions black and white American writers hold toward members of the opposite race,F24
AFROAMER,BLACK MUSIC AND AMERICAN CULTURAL HISTORY,156,3,"Examines the interaction between African American musical culture and its historical context, with an emphasis on the period from 1920 to the present",U25
AFROAMER,DIRECTED STUDY,199,1-3,Directed study projects as arranged with a faculty member,S23
AFROAMER/AFRICAN,"HIPHOP, YOUTH CULTURE, AND POLITICS IN SENEGAL",220,3,"Explores how HipHop, a quintessential manifestation of African American culture, is adopted and adapted by African youth to fight for social justice and democracy in their local contexts, while at the same time constructing a diasporic African sensibility and ""cultural citizenship"" that transcends boarders and oceans. Beginning with the history, culture, and politics of HipHop in the U.S., we compare and contrast HipHop's development in Africa with specific attention to Senegal. Explores the the",F19
AFROAMER/GEN&WS,INTRODUCTION TO BLACK WOMEN'S STUDIES,221,3,This course will provide students with an overvview of the field of Black women's studies,S25
AFROAMER/GEN&WS,INTRODUCTION TO BLACK WOMEN WRITERS,222,3,"An introduction to the writings of Afro-American women from the nineteenth to the twentieth century. Fiction, autobiography, non-fiction prose, and poetry will be read and discussed",F24
AFROAMER,INTRODUCTION TO AFRICAN AMERICAN DRAMATIC LITERATURE,225,3,Introduction to the history of African American theater and major African American playwrights and actors,U25
AFROAMER,MASTERPIECES OF AFRICAN AMERICAN LITERATURE,227,3,"Analysis of major works of African American fiction, drama, poetry and autobiography. Attention given to historical, cultural and biographical contexts",S25
AFROAMER,INTRODUCTION TO AFRICAN AMERICAN HISTORY,231,3,"A social history of West Africans and African Americans from the TransAtlantic Slave Trade through the modern Civil Rights Movement, paying special attention to the institution of slavery (1619-1865), emancipation and reconstruction (1861-1877), and the long civil rights movement (1877-1968). Major themes include the varied experiences of enslaved peoples, the roles Black people played in maintaining and sustaining North American colonies, and how African Americans helped to create the American ",S24
AFROAMER/AFRICAN,GLOBAL HIPHOP AND SOCIAL JUSTICE,233,3,"Critical interrogation of the relationship between HipHop and social justice. What is ""HipHop,"" what is ""social justice,"" what is their relationship, how can HipHop can be an effective force for social justice, and what obstacles mitigate against this potential? Discussions will develop familiarity with important concepts in Black studies and social theory such as race and colonialism, imperialism and hegemony, structure and agency, identity and strategic essentialism. Consider the race/class/ g",S25
AFROAMER/ART HIST,INTRODUCTION TO AFRICAN ART AND ARCHITECTURE,241,3,"Examines the rich heritage of African arts and architecture as they shape and have been shaped by the histories and cultural values (social, political, religious, philosophical, and aesthetic) of African peoples, both past and present, on the continent where humanity began. It includes an historical overview of selected artistic traditions from different parts of the continent from 26,000 BCE to the 21st century and thematic/cultural case studies: artists and aesthetics; textiles, decorative, an",S25
AFROAMER/ART HIST,INTRODUCTION TO AFRO- AMERICAN ART,242,3,"Historical survey of African American art. Beginning with the African heritage and concluding with creativity of the 1970's, examine the evolution of African American art. Attention to the aesthetic sensibilities of diverse styles as well as the social significance of Black art within the art arena",U25
POLI SCI/SOC/SPANISH,LATIN AMERICA: AN INTRODUCTION,260,3-4,"Latin American culture and society from an interdisciplinary perspective; historical developments from pre-Columbian times to the present; political movements; economic problems; social change; ecology in tropical Latin America; legal systems; literature and the arts; cultural contrasts involving the US and Latin America; land reform; labor movements; capitalism, socialism, imperialism; mass media",U25
AFROAMER,AFRICAN-AMERICAN AUTOBIOGRAPHY,265,3,Autobiographies of major African Americans studied in depth to locate the constants and variables in the Black American experience. Focus on the variety of individual responses to conditions in the United States,F24
AFROAMER/GEN&WS,ARTISTIC/CULTURAL IMAGES OF BLACK WOMEN,267,3,"Cultural images by and about Black women; feminine creativity in the arts within their historical, cultural, social, and political contexts",S23
AFROAMER,SELECTED TOPICS IN AFRICAN AMERICAN STUDIES,270,1-3,Introduction to a historical and/or contemporary topic concerning the African American experience. Explores key factors of African American experiences that impact current society,S25
AFROAMER,SELECTED TOPICS IN AFRICAN AMERICAN CULTURE,271,3,Introductory level course on specific topics in African American culture,S25
AFROAMER,RACE AND AMERICAN POLITICS FROM THE NEW DEAL TO THE NEW RIGHT,272,3,"Survey of the decisive role played by race in American politics, 1932present. Focus on origins and accomplishments of ""the Second Reconstruction""; Black Power and white backlash; contemporary racial politics and issues",S25
AFROAMER/HIST SCI,"SCIENCE, MEDICINE, AND RACE: A HISTORY",275,3-4,"Surveys the medical and scientific constructions of categories of race, placing the development of racial theories in a broad social and political context. Pays particular attention to the importance of racial science in slavery and colonialism",U25
SOC,AFRICA: AN INTRODUCTORY SURVEY,277,4,"African society and culture, polity and economy in multidisciplinary perspectives from prehistory and ancient kingdoms through the colonial period to contemporary developments, including modern nationalism, economic development and changing social structure",U25
AFROAMER/AFRICAN/HISTORY/POLI SCI,AFRICAN AND AFRICAN-AMERICAN LINKAGES: AN INTRODUCTION,297,4,"Analysis of retention of African elements in African-American oral, written, and material culture. Social, cultural, and political issues regarding race, self-definition, and self-determination in both Africa and North America will be examined",S18
AFROAMER,UNDERGRADUATE STUDIES IN AFRO- AMERICAN HISTORY,302,3,In-depth treatment of a key theme in black historical studies,F24
AFROAMER,"BLACKS, FILM, AND SOCIETY",303,3,Study of the interpretations of the African American past conveyed via theatrical films and television; relationship to other images of blacks found throughout the popular culture; relationship to societal trends,S24
AFROAMER/DANCE/MUSIC,CULTURAL CROSS CURRENTS: WEST AFRICAN DANCE/MUSIC IN THE AMERICAS,318,3,"The influence of traditional West African dance/music heritage in historical, artistic, social contexts in the development of new hybrid forms of music/dance created by cross-pollination of cultures of Africans, Europeans and indigenous peoples in the New World",U25
AFROAMER/ASIAN AM/DANCE/FOLKLORE,AFRO ASIAN IMPROV: FROM HIP HOP TO MARTIAL ARTS FUSION,319,3,"An Afro Asian perspective provides a lens through which intersections between Asian American and African American dance and martial arts are studied and practiced. Asian American and African American movement genres provide tools to explore dance fusion, choreography, and improvisation, to create dances informed by African American and Asian American legacies of struggle, innovation and transformation, while cognizant of historical forces of oppression and racism. Building connections through re",S25
AFROAMER/GEN&WS,"GENDER, RACE AND CLASS: WOMEN IN U.S. HISTORY",323,3,Historical interplay of racism and sexism in the lives of Black and White women of different class backgrounds in the United States,U17
AFROAMER/GEN&WS,BLACK WOMEN IN AMERICA: RECONSTRUCTION TO THE PRESENT,324,3,"Explores African American women's experience from waning days of slavery to present. Topics include slavery, emancipation, reconstruction, segregation, migration, urban and rural poverty, civil rights, nationalism, feminism and sexual politics",F17
AFROAMER/GEN&WS,RACE AND GENDER IN POST- WORLD WAR II U.S. SOCIETY,326,3,"Assesses how race and gender (as well as socio-economic status, age, sexuality, region, etc.) shaped the experiences and options of African Americans, especially women, in U.S. society from WW II to the present",F23
AFROAMER/GEN&WS,BLACK FEMINISMS,333,3,"Uses an interdisciplinary framework to interrogate core assumptions, arguments, and silences in past and present black feminist thought",S25
AFROAMER,THE HARLEM RENAISSANCE,337,3,"Black literature and culture during the 1920's. Focus on unique Black literary expression of era, historical background, esthetics, polemical essays",S24
AFROAMER,THE BLACK ARTS MOVEMENT,338,3,"Focuses on the notion of blackness as it is developed in the poetry and drama of key figures of the 1960s Black Arts Movement. Emphasizes the emergence of a critical discourse specific to a ""new"" black aesthetic",F24
AFROAMER/HISTORY,THE CARIBBEAN AND ITS DIASPORAS,347,3-4,"Surveys the history of the Caribbean from the 15th century to the present. Emphasizes the importance of colonialism, commodity-based capitalism, globalization, slavery, and forced labor for the modeling of the region's social, economic, cultural, and political structures. Pay particular attention to the resilient, creative and resourceful ways in which Caribbean people have responded to these adverse conditions. Examine the circumstances that have shaped migrations from the region to the United ",F23
AFROAMER/GEN&WS,ART AND VISUAL CULTURE: WOMEN OF THE AFRICAN DIASPORA AND AFRICA,367,3,"Art and visual culture by/or pertaining to women throughout the African Diaspora and Africa. Though the focus is on 10th century art by black women, it will go into visual culture (art objects, photographs, images, dress, culturally-coded representation) concerning black women historically",S25
AFROAMER/AFRICAN,CONTEMPORARY AFRICAN AND CARIBBEAN DRAMA,413,3-4,A critical study of the major works,F22
AFROAMER/LEGAL ST,"CIVIL RIGHTS: POLICING, PRISONS, VOTING, HOUSING, EMPLOYMENT",435,3-4,"Exploration of civil rights. Question what it means to discriminate (on the basis of race, sex, national origin, religion, and disability), how we might investigate and detect acts of discrimination, and the legal constraints on governmental efforts to remedy discrimination in employment, housing, and voting. Explore the intersection of government power and civil rights. Examine how the government targets groups during times of national crisis. Consider what constitutes acceptable conditions of ",S25
AFROAMER/POLI SCI,AFRICAN AMERICAN POLITICAL THEORY,519,3-4,Explores a range of theories that African Americans have drawn upon to cope with and ameliorate their political circumstances in the United States within the specific parameters of political theory,F24
AFROAMER/HIST SCI/MED HIST,"RACE, AMERICAN MEDICINE AND PUBLIC HEALTH",523,3,Provides historical perspectives on current dilemmas facing black patients and health care professionals,S25
AFROAMER,MAJOR AUTHORS,525,3,"Intensive literary criticism of the works of selected authors. Emphasis on fiction, but non-fiction when appropriate. Works of one or two authors",S25
AFROAMER/ED POL,HISTORY OF AFRICAN AMERICAN EDUCATION,567,3,"An examination of the social, economic, political, and cultural issues influencing the education of Black Americans from the early nineteenth century to the 1960s",S24
AFROAMER,SLAVERY AND CAPITALISM IN THE UNITED STATES,621,3,"Addresses the relationship between slavery and capitalism in the British North American colonies and the United States of America. Drawing on recent scholarship that explores how slavery and capitalism are independent systems, examines how the labor of enslaved people affected the development and growth of wage labor; the impact of the growth and dominance of capitalism as an economic system on the institution of slavery; and the experiences of enslaved people",F24
AFROAMER/GEN&WS,"GENDER, RACE AND THE CIVIL RIGHTS MOVEMENT",625,3,This course focuses on the emerging field of gender studies in the scholarship on the post-World War II civil rights movement in the United States,S24
AFROAMER/HISTORY,HISTORY OF THE CIVIL RIGHTS MOVEMENT IN THE UNITED STATES,628,3,"Civil rights history from 1930-1970. Legal, historical and economic origins of the civil rights movement. Study of the movement's impact on United States culture, politics, and international relations",F24
AFROAMER,COLLOQUIUM IN AFRO-AMERICAN HISTORY,631,3,Research and discussion of topics in African American History,S20
AFROAMER,SELECTED TOPICS IN AFRO-AMERICAN HISTORY,671,3,An intensive analysis of specific historical themes in African Americans' experiences,S25
AFROAMER/ENGL,SELECTED TOPICS IN AFRO-AMERICAN LITERATURE,672,3,An intensive analysis of specific themes in the Afro-American experience. Subjects vary with instructor,S25
AFROAMER,SELECTED TOPICS IN AFRO-AMERICAN SOCIETY,673,3,An intensive analysis of specific societal themes in African Americans' experiences,S25
AFROAMER,SELECTED TOPICS IN AFRO-AMERICAN CULTURE,675,3,An intensive analysis of specific cultural themes in African Americans' experiences,S24
AFROAMER/GEN&WS,CRITICAL AND THEORETICAL PERSPECTIVES IN BLACK WOMEN'S WRITINGS,677,3,"Analyses and interpretations of literary works by black women writers through historical, philosophical, political, feminist, and other contemporary critical methods",S25
AFROAMER,SENIOR HONORS THESIS,681,3,Mentored individual research and study for students completing a thesis in an Honors program,F07
AFROAMER,SENIOR HONOR THESIS,682,3,Mentored individual research and study for students completing a thesis in an Honors program,S08
AFROAMER,SENIOR THESIS,691,2-3,Mentored individual research and study for students completing a senior thesis,S10
AFROAMER,SENIOR THESIS,692,2-3,Mentored individual research and study for students completing a senior thesis,F10
AFROAMER,DIRECTED STUDY IN AFRO-AMERICAN STUDIES,699,1-6,Advanced directed study projects as arranged with a faculty member,U25
AFROAMER/ED POL/HISTORY,EDUCATION AND THE CIVIL RIGHTS MOVEMENT,712,3,"Explores the historical relationship between education and the African American freedom struggle from the early twentieth century to the present. Topics include school segregation, desegregation, and resegregation; high school and college student activism; Black Power; civil rights protest strategies and tactics, and the role of the federal government",F20
AFROAMER,RESEARCH AND THESIS,790,1-12,Mentored individual research and study for students completing a Master's thesis,S25
AFROAMER/ART HIST,"HISTORIOGRAPHY, THEORY AND METHODS IN VISUAL CULTURE",801,3,"Focuses on the knowledge, theories, and methods that are fundamental to the transdisciplinary discipline of Visual Cultures. Develops skills in critical reading, research, analysis, writing, and oral presentation",F24
AFROAMER/ART HIST,VISUAL CULTURES: TOPICS IN VISUAL CULTURES,802,3,"Content will vary to facilitate in-depth engagement with a particular topic in Visual Culture. Topics will be pursued with analytic attention to gender, sexuality and race",S25
AFROAMER/AFRICAN,CONTEMPORARY AFRICAN AND CARIBBEAN DRAMA,813,3,"Historical and critical study of the classics of contemporary African and Caribbean literary drama written in English. Thematic issues include the African encounter with Europe, postcolonial disillusionment and the betrayal of ideals, and also stylistic matters as the relationship(s) between traditional drama and other performance forms, and modern drama written in European languages. Considers theories and critical approaches to understanding the cross-continental drama traditions and their con",
AFRICAN,INTRODUCTION TO AFRICAN CULTURAL EXPRESSION,100,3,"An introduction to current research in African cultural studies, ranging from various literary genres and uses of discourse; to diverse media including screen media, music, cartoons, and journalism; and to other forms of popular expression like soccer and drama. Through an introduction to these forms, study the diverse methods used by scholars in this field, such as textual analysis, film criticism, ethnomusicology, discourse analysis, and ethnography; and to the cultural diversity of Africa and",S25
AFRICAN/HISTORY,INTRODUCTION TO AFRICAN HISTORY,106,3-4,Introductory exploration of a thematic or chronological area of African history. Topics vary by instructor,S25
AFRICAN/HISTORY,AFRICA ON THE GLOBAL STAGE,129,3-4,"Explores the interplay between Africa and the World from the 19th century to the present, covering subjects such as the slave- trade, repatriation, Africanizing of culture in the Americas and Europe, the spread and revival of world religions, colonialism, global capitalism, the rise of global popular culture such as pop music and video films, environmental concerns and global epidemics",
AFRICAN,INTRODUCTION TO AFRICAN LITERATURE,201,3,Survey of African literary traditions and introduction to literary analysis,S25
AFRICAN,INTRODUCTORY TOPICS IN AFRICAN CULTURAL STUDIES,202,3,"Various topics in African cultural studies and African expressive cultures. Topics will include cultural and/or political themes that cut across multiple media and genres, including two or more of the following: literature, film, media, music, performance, language use, etc",U25
AFRICAN,INTRODUCTORY TOPICS IN AFRICAN LITERATURE,203,3,"Introduction to a special topic in African literature, focused on a specific region or genre",U25
AFRICAN,INTRODUCTORY TOPICS IN AFRICAN LANGUAGES,204,3,"Special topics related to African languages and/or linguistics at the introductory level. Introduction to the diversity of African languages, superdiverse multilingual African societies, and the relationships between language and other societal issues",S25
AFRICAN,INTRODUCTION TO AFRICAN LINGUISTIC PRACTICES,206,3,"An introduction to various approaches to studying African languages in societal context from the perspective of experts in sociolinguistics, linguistic ethnography, and language pedagogy. Topics covered will include multilingualism, codeswitching, codemixing, translanguaging, language invention/disinvention, interactional practices, discourse analysis, language and politics, language and identity, language in education, language, gender, and sexuality, language and the media, language choice in ",
AFRICAN/FOLKLORE,THE AFRICAN STORYTELLER,210,3,"The oral tradition and the written word; the composition of stories, relationship between performer and audience, and transmission of tradition in various African societies",U25
AFRICAN,INTRODUCTION TO AFRICAN POPULAR CULTURE,212,3,"Popular culture (such as popular literature, music, television, news media, movies, etc.) will be used to introduce the African continent and its cultures, people, and languages. Explore text from a different regions on the continent, with a focus on differences and similarities across the continent at the level of aesthetics and context",F24
AFRICAN/FRENCH,MODERN AND CONTEMPORARY FRANCOPHONE TOPICS,216,3,"Modern and contemporary topics in the African francophone world, which includes both the African continent and the African diaspora. Taught in English",
AFRICAN/AFROAMER,"HIPHOP, YOUTH CULTURE, AND POLITICS IN SENEGAL",220,3,"Explores how HipHop, a quintessential manifestation of African American culture, is adopted and adapted by African youth to fight for social justice and democracy in their local contexts, while at the same time constructing a diasporic African sensibility and ""cultural citizenship"" that transcends boarders and oceans. Beginning with the history, culture, and politics of HipHop in the U.S., we compare and contrast HipHop's development in Africa with specific attention to Senegal. Explores the the",F19
AFRICAN,INTRODUCTION TO YORUBA LIFE AND CULTURE,230,3,"Introduction to some aspects of the life and culture of Yoruba-speaking people of West Africa, Cuba, Brazil, and Haiti, including the importance of Yoruba culture in the Americas",F22
AFRICAN,INTRODUCTION TO ARABIC LITERARY CULTURE,231,3,"Overview on Arabic cultural production. Develops a historic and critical understanding of Arabic literary traditions, as well as related musical and visual arts, up to the twenty-first century",F23
AFRICAN/AFROAMER,GLOBAL HIPHOP AND SOCIAL JUSTICE,233,3,"Critical interrogation of the relationship between HipHop and social justice. What is ""HipHop,"" what is ""social justice,"" what is their relationship, how can HipHop can be an effective force for social justice, and what obstacles mitigate against this potential? Discussions will develop familiarity with important concepts in Black studies and social theory such as race and colonialism, imperialism and hegemony, structure and agency, identity and strategic essentialism. Consider the race/class/ g",S25
SOC,AFRICA: AN INTRODUCTORY SURVEY,277,4,"African society and culture, polity and economy in multidisciplinary perspectives from prehistory and ancient kingdoms through the colonial period to contemporary developments, including modern nationalism, economic development and changing social structure",U25
